Year,Country,Disease,Gender,Rate
2021,Belgium,Cerebrovascular,Male,57.06
2021,Belgium,Cerebrovascular,Female,47.71
2021,Czech Republic,Cerebrovascular,Male,92.12
2021,Czech Republic,Cerebrovascular,Female,74.47
2021,Denmark,Cerebrovascular,Male,62.84
2021,Denmark,Cerebrovascular,Female,50.68
2021,Germany,Cerebrovascular,Male,60.93
2021,Germany,Cerebrovascular,Female,50.35
2021,Estonia,Cerebrovascular,Male,109.98
2021,Estonia,Cerebrovascular,Female,64.55
2021,Ireland,Cerebrovascular,Male,48.01
2021,Ireland,Cerebrovascular,Female,46.04
2021,Greece,Cerebrovascular,Male,95.83
2021,Greece,Cerebrovascular,Female,92.99
2021,Spain,Cerebrovascular,Male,53.52
2021,Spain,Cerebrovascular,Female,42.5
2021,France,Cerebrovascular,Male,47.42
2021,France,Cerebrovascular,Female,35.96
2021,Croatia,Cerebrovascular,Male,146.17
2021,Croatia,Cerebrovascular,Female,115.95
2021,Italy,Cerebrovascular,Male,76.08
2021,Italy,Cerebrovascular,Female,63.1
2021,Cyprus,Cerebrovascular,Male,64.98
2021,Cyprus,Cerebrovascular,Female,55.43
2021,Latvia,Cerebrovascular,Male,292.62
2021,Latvia,Cerebrovascular,Female,228.04
2021,Lithuania,Cerebrovascular,Male,202.8
2021,Lithuania,Cerebrovascular,Female,153.56
2021,Luxembourg,Cerebrovascular,Male,40.34
2021,Luxembourg,Cerebrovascular,Female,39.98
2021,Hungary,Cerebrovascular,Male,153.37
2021,Hungary,Cerebrovascular,Female,110.99
2021,Malta,Cerebrovascular,Male,53.8
2021,Malta,Cerebrovascular,Female,56.53
2021,Netherlands,Cerebrovascular,Male,62.91
2021,Netherlands,Cerebrovascular,Female,55.61
2021,Austria,Cerebrovascular,Male,58.6
2021,Austria,Cerebrovascular,Female,49.2
2021,Poland,Cerebrovascular,Male,101.32
2021,Poland,Cerebrovascular,Female,74.96
2021,Portugal,Cerebrovascular,Male,109.98
2021,Portugal,Cerebrovascular,Female,81.39
2021,Romania,Cerebrovascular,Male,247.19
2021,Romania,Cerebrovascular,Female,198.6
2021,Slovenia,Cerebrovascular,Male,106.86
2021,Slovenia,Cerebrovascular,Female,85.16
2021,Slovakia,Cerebrovascular,Male,128.63
2021,Slovakia,Cerebrovascular,Female,87.23
2021,Finland,Cerebrovascular,Male,78.48
2021,Finland,Cerebrovascular,Female,58.97
2021,Sweden,Cerebrovascular,Male,58.15
2021,Sweden,Cerebrovascular,Female,44.44
2021,Iceland,Cerebrovascular,Male,54.12
2021,Iceland,Cerebrovascular,Female,43.14
